Timestamp,veh_id,CBR,neighbors,SNR,Reward
11.0,veh15,0.15,10,29.591152325987068,0.37799071553640373
11.0,veh17,0.10210160413914343,6,25.51533179288316,0.407879370661918
11.0,veh8,0.25,12,30.413405447017414,0.44318762339466294
12.0,veh3,0.10344665893064633,5,33.24661401568797,0.29391659227840417
12.0,veh5,0.35,5,13.585486233402195,0.660484913277579
12.0,veh11,0.35,8,7.073263048401932,0.5417112977750064
12.0,veh16,0.25,9,16.570224343176665,0.6541281138171321
12.0,veh4,0.25,13,32.839889804987926,0.4115482964780469
12.0,veh20,0.35,11,32.68404452698612,0.49037781526339574
12.0,veh9,0.25,12,19.769787751082838,0.6454864048894725
12.0,veh12,0.25,10,32.47996367639999,0.41597633253988625
12.0,veh10,0.25,14,19.04837260033043,0.6640180631666698
12.0,veh18,0.25,10,30.417913148938844,0.4431248039304524
12.0,veh1,0.25,14,27.645015884432308,0.4848981519576868
12.0,veh19,0.25,17,31.29907613701948,0.4311421187011351
12.0,veh2,0.15,19,31.746482794347564,0.3483557615849522
12.0,veh7,0.25,13,25.378664725303583,0.5241574337162811
12.0,veh6,0.35,10,19.538401087221757,0.7282726141719007
12.0,veh13,0.15,11,30.228313833950505,0.3688576208054805
12.0,veh14,0.15,5,20.629058743515618,0.5474380532419971
12.0,veh15,0.15,9,32.60127466870372,0.3375509091298361
12.0,veh17,0.15,9,33.70680159110748,0.3243164419408051
12.0,veh8,0.25,10,31.601572033914476,0.42716196548368923
13.0,veh3,0.10422159131018373,8,31.95044904057307,0.31051659890598604
13.0,veh5,0.10342432634692314,8,31.32229439172461,0.3180837258609049
13.0,veh11,0.15,19,13.311813248971013,0.5007351035064513
13.0,veh16,0.15,6,16.855455942640894,0.5845814251538024
13.0,veh4,0.25,13,27.764217920703523,0.48296692149989495
13.0,veh20,0.25,9,32.69738685435282,0.41329087595162545
13.0,veh9,0.25,10,31.63019050207633,0.42678886385444986
13.0,veh12,0.15,11,32.77588281808735,0.33540621456801345
13.0,veh10,0.25,19,16.515296769295183,0.6527210020920429
13.0,veh18,0.15,14,14.75977506909951,0.5330145022872811
13.0,veh1,0.25,12,27.481431051725153,0.4875693471784809
13.0,veh19,0.35,9,32.810137207890286,0.4888340606967593
