[2025-07-06 23:52:22] [10.863325119018555, 12.277774810791016]
[2025-07-06 23:52:22] [17.2253360748291, 13.3464994430542]
[2025-07-06 23:52:22] [15.967910766601562, 10.852367401123047]
[2025-07-06 23:52:22] [16.87681007385254, 11.609659194946289]
[2025-07-06 23:52:23] [21.31026840209961, 10.343682289123535]
[2025-07-06 23:52:23] [11.055233001708984, 10.623442649841309]
[2025-07-06 23:52:23] [13.6276216506958, 11.313465118408203]
[2025-07-06 23:52:23] [11.450479507446289, 14.276875495910645]
[2025-07-06 23:52:23] [13.834465026855469, 13.896512031555176]
[2025-07-06 23:52:23] [17.153465270996094, 10.405427932739258]
[2025-07-06 23:52:23] [12.654017448425293, 15.613503456115723]
[2025-07-06 23:52:23] [13.282468795776367, 11.001087188720703]
[2025-07-06 23:52:23] [11.782624244689941, 11.136478424072266]
[2025-07-06 23:52:23] [10.343892097473145, 14.191545486450195]
[2025-07-06 23:52:23] [10.365301132202148, 11.714520454406738]
[2025-07-06 23:52:23] [20.565021514892578, 13.27391242980957]
[2025-07-06 23:52:23] [13.098724365234375, 12.165959358215332]
[2025-07-06 23:52:23] [11.725446701049805, 11.248230934143066]
[2025-07-06 23:52:23] [10.719197273254395, 10.929733276367188]
[2025-07-06 23:52:23] [11.750587463378906, 11.88252067565918]
[2025-07-06 23:52:23] [29.77541732788086, 15.81871509552002]
[2025-07-06 23:52:23] [14.4271879196167, 11.171281814575195]
[2025-07-06 23:52:23] [14.01462459564209, 12.632101058959961]
[2025-07-06 23:52:23] [27.923553466796875, 10.834485054016113]
[2025-07-06 23:52:23] [10.839966773986816, 11.393704414367676]
[2025-07-06 23:52:23] [12.453354835510254, 13.239200592041016]
[2025-07-06 23:52:23] [17.817649841308594, 12.872525215148926]
[2025-07-06 23:52:23] [17.642688751220703, 15.544775009155273]
[2025-07-06 23:52:23] [13.959346771240234, 11.90087604522705]
[2025-07-06 23:52:23] [22.780710220336914, 10.883346557617188]
[2025-07-06 23:52:23] [13.136066436767578, 11.512674331665039]
[2025-07-06 23:52:23] [17.667457580566406, 13.711516380310059]
[2025-07-06 23:52:23] [18.25835418701172, 11.02911376953125]
[2025-07-06 23:52:23] [16.48602294921875, 11.555870056152344]
[2025-07-06 23:52:23] [10.205678939819336, 11.031932830810547]
[2025-07-06 23:52:23] [12.018594741821289, 10.890073776245117]
[2025-07-06 23:52:23] [10.982796669006348, 13.087169647216797]
[2025-07-06 23:52:23] [25.336624145507812, 18.669832229614258]
[2025-07-06 23:52:23] [20.74334144592285, 11.172558784484863]
[2025-07-06 23:52:23] [15.959061622619629, 11.862113952636719]
[2025-07-06 23:52:23] [14.507057189941406, 11.642207145690918]
[2025-07-06 23:52:23] [14.30079460144043, 10.11620807647705]
[2025-07-06 23:52:23] [20.478532791137695, 12.342100143432617]
[2025-07-06 23:52:23] [10.710098266601562, 15.91965103149414]
[2025-07-06 23:52:23] [13.482353210449219, 10.989057540893555]
[2025-07-06 23:52:23] [12.40408706665039, 13.972953796386719]
[2025-07-06 23:52:23] [13.479509353637695, 14.104745864868164]
[2025-07-06 23:52:23] [10.64822769165039, 11.230216026306152]
[2025-07-06 23:52:23] [11.76744270324707, 10.673755645751953]
[2025-07-06 23:52:23] [11.26805591583252, 10.593433380126953]
[2025-07-06 23:52:23] [12.318513870239258, 10.76086139678955]
[2025-07-06 23:52:23] [17.218259811401367, 10.65987491607666]
[2025-07-06 23:52:23] [12.93740177154541, 11.5541353225708]
